Date,"('CLOSE', 'BTC-USD')","('HIGH', 'BTC-USD')","('LOW', 'BTC-USD')","('OPEN', 'BTC-USD')","('VOLUME', 'BTC-USD')"
2014-09-17,457.334015,468.174011,452.421997,465.864014,21056800
2014-09-18,424.440002,456.859985,413.104004,456.859985,34483200
2014-09-19,394.795990,427.834991,384.532013,424.102997,37919700
2014-09-20,408.903992,423.295990,389.882996,394.673004,36863600
2014-09-21,398.821014,412.425995,393.181000,408.084991,26580100
2014-09-22,402.152008,406.915985,397.130005,399.100006,24127600
2014-09-23,435.790985,441.557007,396.196991,402.092010,45099500
2014-09-24,423.204987,436.112000,421.131989,435.751007,30627700
2014-09-25,411.574005,423.519989,409.467987,423.156006,26814400
2014-09-26,404.424988,414.937988,400.009003,411.428986,21460800
2014-09-27,399.519989,406.622986,397.372009,403.556000,15029300
2014-09-28,377.181000,401.016998,374.332001,399.471008,23613300
2014-09-29,375.467010,385.210999,372.239990,376.928009,32497700
2014-09-30,386.944000,390.976990,373.442993,376.088013,34707300
2014-10-01,383.614990,391.378998,380.779999,387.427002,26229400
2014-10-02,375.071991,385.497009,372.946014,383.988007,21777700
2014-10-03,359.511993,377.695007,357.859009,375.181000,30901200
2014-10-04,328.865997,364.487000,325.885986,359.891998,47236500
2014-10-05,320.510010,341.800995,289.295990,328.915985,83308096
2014-10-06,330.079010,345.134003,302.559998,320.389008,79011800
2014-10-07,336.187012,339.247009,320.481995,330.584015,49199900
2014-10-08,352.940002,354.364014,327.187988,336.115997,54736300
2014-10-09,365.026001,382.726013,347.687012,352.747986,83641104
2014-10-10,361.562012,375.066986,352.963013,364.687012,43665700
2014-10-11,362.299011,367.191010,355.950989,361.362000,13345200
2014-10-12,378.549011,379.433014,356.144012,362.605988,17552800
2014-10-13,390.414001,397.226013,368.897003,377.920990,35221400
2014-10-14,400.869995,411.697998,391.324005,391.691986,38491500
2014-10-15,394.773010,402.226990,388.765991,400.954987,25267100
2014-10-16,382.556000,398.807007,373.070007,394.518005,26990000
2014-10-17,383.757996,385.477997,375.389008,382.756012,13600700
2014-10-18,391.441986,395.157990,378.971008,383.976013,11416800
2014-10-19,389.545990,393.938995,386.457001,391.253998,5914570
2014-10-20,382.845001,390.084015,378.252014,389.230988,16419000
2014-10-21,386.475006,392.645996,380.834015,382.420990,14188900
2014-10-22,383.157990,388.575989,382.248993,386.118011,11641300
2014-10-23,358.416992,385.048004,356.446991,382.962006,26456900
2014-10-24,358.345001,364.345001,353.304993,358.591003,15585700
2014-10-25,347.270996,359.860992,342.877014,358.610992,18127500
2014-10-26,354.704010,359.221008,343.931000,347.487000,11272500
2014-10-27,352.989014,358.631989,349.808990,354.777008,13033000
2014-10-28,357.618011,359.984009,352.678986,353.214996,7845880
2014-10-29,335.591003,357.833008,335.342987,357.088989,18192700
2014-10-30,345.304993,350.912994,335.071991,335.709015,30177900
2014-10-31,338.321014,348.045013,337.141998,345.009003,12545400
